gesture@kua1968m	@kua1968m	833.444	839.357	сводит и разводит руки два раза
gesture@kua1968m	@kua1968m	840.776	844.147	поочередно разводит руки в стороны, затем сводит обратно
gesture@kua1968m	@kua1968m	844.159	847.098	обе руки двигает параллельно влево
gesture@kua1968m	@kua1968m	849.16	852.999	двигает руки параллельно друг другу из стороны в сторону, постепенно сближая ладони
gesture@kua1968m	@kua1968m	853.024	854.925	разводит руками и снова сводит
gesture@kua1968m	@kua1968m	856.431	860.974	держит ладони на уровне плеч и очерчивает ими круги несколько раз
gesture@kua1968m	@kua1968m	861.95	865.012	два раза опускает руки ладонями вниз на воздух, как на горизонтальную плоскость
gesture@kua1968m	@kua1968m	865.567	877.814	разводит руками несколько раз
gesture@kua1968m	@kua1968m	881.863	882.9	размыкает руки и как бы отодвигает что-то в воздухе один раз ладонями вниз
gesture@kua1968m	@kua1968m	883.085	884.702	держит руки на уровне груди и совершает ладонями круговые движения, ладони направлены к телу
gesture@kua1968m	@kua1968m	884.801	886.307	поводит руками из стороны в сторону, ладони направлены друг к другу
gesture@kua1968m	@kua1968m	886.406	886.974	слегка покачивает головой
gesture@kua1968m	@kua1968m	887.147	887.912	поднимает руки на уровень плеч и встряхивает кистями рук
gesture@kua1968m	@kua1968m	888.086	888.975	поднимает руки ладонями к собеседнику и делает в сторону него отодвигающее  движение
gesture@kua1968m	@kua1968m	889.073	890.727	указывает на собеседника и наклоняется вперёд
gesture@kua1968m	@kua1968m	893.838	894.653	левая рука поднята на уровень плеч, взмахивает ей в сторону собеседника один раз
gesture@kua1968m	@kua1968m	894.715	898.74	выпрямленной ладонью левой руки поводит из стороны в сторону несколько
gesture@kua1968m	@kua1968m	898.752	903.27	разведёнными руками поводит из стороны в сторону несколько раз, ладони направлены друг к другу
gesture@kua1968m	@kua1968m	903.579	904.369	делает круговое движение руками на уровне пояса
gesture@kua1968m	@kua1968m	905.185	907.308	разводит руками
gesture@kua1968m	@kua1968m	907.327	909.265	поднимает руки вверх и вправо, затем опускает к животу
gesture@kua1968m	@kua1968m	917.709	918.585	короткий кивок
gesture@kua1968m	@kua1968m	925.443	930.628	поочерёдно загибает два пальца на левой руке, начиная с мизинца
gesture@kua1968m	@kua1968m	933.839	936.703	сжатой в кулак ладонью качает в сторону собсесдника
gesture@kua1968m	@kua1968m	936.727	944.875	несколько раз показывает на себя и в сторону открытой ладонью левой руки
gesture@kua1968m	@kua1968m	944.913	949.9	поднимает обе руки с раскрытыми ладонями на уровень плеч и поводит ими из стороны в сторону несколько раз
gesture@kua1968m	@kua1968m	951.363	952.647	имитирует игру на гитаре обеими руками
gesture@kua1968m	@kua1968m	952.727	955.801	ритмично стучит ладонями по бедру
gesture@kua1968m	@kua1968m	955.949	956.974	двигает руку тыльной стороной к собеседнику
gesture@kua1968m	@kua1968m	957.146	958.257	очерчивает руками сферу
gesture@kua1968m	@kua1968m	960.127	962.608	залезает правой рукой в карман брюк
gesture@kua1968m	@kua1968m	962.657	964.506	обводит руками пространство вокруг себя и складывает руки
gesture@kua1968m	@kua1968m	964.533	966.36	залезает правой рукой в карман брюк
gesture@kua1968m	@kua1968m	966.378	970.008	трясёт кистью правой руки около кармана брюк
gesture@kua1968m	@kua1968m	971.073	979.221	поднимает левую руку с открытой ладонью и слегка потряхивает ей несколько раз
gesture@kua1968m	@kua1968m	979.282	984.122	машет кистью руки несколько раз
gesture@kua1968m	@kua1968m	986.703	988.715	несколько раз свожит и разводит руки на уровне груди
gesture@kua1968m	@kua1968m	990.197	991.061	пожимает плечами
gesture@kua1968m	@kua1968m	998.579	1004.641	покачивает руками из стороны в сторону
gesture@kua1968m	@kua1968m	1004.647	1010.301	имитирует игру на гитре
gesture@kua1968m	@kua1968m	1010.517	1011.036	показывает левой рукой в сторону собеседника
gesture@kua1968m	@kua1968m	1016.346	1024.95	разводит руками и слегка поводит кистями
gesture@kua1968m	@kua1968m	1026.196	1027.554	раскрывает ладони и слегка двигает ими вперёд
gesture@kua1968m	@kua1968m	1027.572	1030.622	показывает на себя обеими руками несколько раз
gesture@kua1968m	@kua1968m	1041.213	1050.034	имитирует игру на гитаре
gesture@kua1968m	@kua1968m	1057.715	1058.665	разводит руками
gesture@kua1968m	@kua1968m	1064.233	1067.443	поднимает руки и слегка покачивет ими
gesture@kua1968m	@kua1968m	1067.728	1072.518	поводит руками влево, затем вправо
gesture@kua1968m	@kua1968m	1072.53	1077.172	покачивает ладонями, держа руки на уровне груди
gesture@kua1968m	@kua1968m	1077.351	1081.178	имитирует игру на фортепиано
gesture@kua1968m	@kua1968m	1081.245	1084.949	взмахивает обеими руками несколько раз
gesture@kua1968m	@kua1968m	1085.479	1086.899	разводит руками
gesture@kua1968m	@kua1968m	1087.863	1091.703	отводит обе руки вправо
gesture@kua1968m	@kua1968m	1092.158	1093.22	разводит руками
gesture@kua1968m	@kua1968m	1095.207	1096.553	разводит руками
gesture@kua1968m	@kua1968m	1097.904	1100.608	разводит руками
gesture@kua1968m	@kua1968m	1100.626	1103.206	покачивает разведёнными руками несколько раз
gesture@kua1968m	@kua1968m	1104.197	1105.654	указывает на себя
gesture@kua1968m	@kua1968m	1106.801	1108.529	показывает один палец правой рукой
